date,strategy_nav,benchmark_nav
2015-03-16,1385706.018965799,1233507.8572372498
2015-03-17,1389704.8092494316,1250634.3675946759
2015-03-18,1405120.4936043166,1280237.5229389253
2015-03-19,1400362.4476000092,1278135.1140563476
2015-03-20,1404394.274510158,1295722.3169238258
2015-03-23,1429688.5629548328,1322181.1793129093
2015-03-24,1432166.7062241905,1322509.0565689793
2015-03-25,1443272.2392423227,1311646.1668485804
2015-03-26,1452819.0775216408,1314837.3945175596
2015-03-27,1455297.089728924,1322060.0145198032
2015-03-30,1483859.1371298314,1360833.081184073
2015-03-31,1467620.4821572301,1348525.5343151013
2015-04-01,1495462.8945166245,1372722.2100724562
2015-04-02,1501210.1951526587,1373015.46881621
2015-04-03,1513879.0486673838,1388248.279975887
2015-04-07,1554068.4059508496,1418042.1700081853
2015-04-08,1548569.1575224649,1429945.2794496191
2015-04-09,1540712.0487875016,1418739.2004388564
2015-04-10,1581906.2596158723,1446127.1038651904
2015-04-13,1600219.1984959384,1471643.943274905
2015-04-14,1602684.1005722508,1477339.6871618247
2015-04-15,1556324.6754806011,1458142.723471651
2015-04-16,1612384.3136952803,1502425.4595191425
2015-04-17,1620354.7067757857,1529917.2184824245
2015-04-20,1593968.5950742383,1505212.5826308937
2015-04-21,1646564.976014121,1537582.5559979402
2015-04-22,1676166.1750138274,1577743.3589876485
2015-04-23,1677969.0090754393,1578102.1931826165
2015-04-24,1678904.969165079,1565369.5709268406
2015-04-27,1709540.6735468025,1600304.642908381
